game_id,skill_level,estimated_rating,rating_bucket,cheat_pct,is_cheat,suspect_color,n_moves,result,acpl,acpl_opening,acpl_middlegame,acpl_endgame,top1_match_rate,top3_match_rate,cp_loss_std,cp_loss_median,only_move_match_rate,blunder_rate,mistake_rate
8,0,1320,1250-1400,0,0,white,30,0-1,175.7,37.2,244.95,0.0,0.16666666666666666,0.23333333333333334,249.80314249424484,101.5,0.25,0.23333333333333334,0.5
5,0,1320,1250-1400,0,0,white,34,1-0,47.55882352941177,30.4,57.08695652173913,0.0,0.3235294117647059,0.6176470588235294,81.07556068133225,9.5,1.0,0.029411764705882353,0.17647058823529413
11,0,1320,1250-1400,0,0,black,32,1-0,105.875,26.8,141.8181818181818,0.0,0.28125,0.6875,199.0781489139378,22.5,0.2,0.15625,0.25
2,0,1320,1250-1400,0,0,white,62,1-0,61.564516129032256,21.8,52.628571428571426,103.3529411764706,0.25806451612903225,0.5806451612903226,133.46010893288968,34.0,0.0,0.04838709677419355,0.12903225806451613
9,0,1320,1250-1400,0,0,white,25,1/2-1/2,45.68,15.2,66.0,0.0,0.52,0.8,89.3750390209705,3.0,0.75,0.12,0.16
1,0,1320,1250-1400,0,0,black,48,0-1,44.1875,31.4,24.85,72.77777777777777,0.3958333333333333,0.625,143.7959573275619,4.0,0.6666666666666666,0.020833333333333332,0.0625
0,0,1320,1250-1400,0,0,white,31,1-0,26.548387096774192,30.4,25.95,0.0,0.22580645161290322,0.5806451612903226,33.061856698713775,13.0,1.0,0.0,0.03225806451612903
10,0,1320,1250-1400,0,0,white,44,0-1,120.77272727272727,23.8,150.0952380952381,148.0,0.25,0.5909090909090909,197.24360384103292,41.0,0.2857142857142857,0.18181818181818182,0.2727272727272727
3,0,1320,1250-1400,0,0,white,62,1-0,154.2258064516129,45.4,107.0,221.32258064516128,0.1935483870967742,0.46774193548387094,291.85742317621333,28.0,0.3333333333333333,0.1935483870967742,0.27419354838709675
6,0,1320,1250-1400,0,0,black,70,1-0,141.47142857142856,82.1,110.8,180.34285714285716,0.2857142857142857,0.5285714285714286,234.38416093661107,59.0,0.3333333333333333,0.14285714285714285,0.37142857142857144
4,0,1320,1250-1400,0,0,white,61,1-0,62.442622950819676,32.2,84.70833333333333,53.851851851851855,0.29508196721311475,0.6065573770491803,81.51084099478736,31.0,1.0,0.08196721311475409,0.19672131147540983
17,0,1320,1250-1400,0,0,white,16,0-1,87.9375,41.3,165.66666666666666,0.0,0.0625,0.375,112.92445967880475,44.5,0.0,0.125,0.25
7,0,1320,1250-1400,0,0,black,47,0-1,80.27659574468085,54.2,87.32432432432432,0.0,0.2978723404255319,0.574468085106383,158.02890957274707,31.0,0.5,0.06382978723404255,0.2127659574468085
16,0,1320,1250-1400,0,0,white,20,0-1,150.65,80.5,220.8,0.0,0.3,0.6,254.96063911906086,45.0,0.4,0.2,0.25
19,0,1320,1250-1400,0,0,white,46,1-0,93.06521739130434,16.0,138.52,59.81818181818182,0.2826086956521739,0.5869565217391305,206.0111227657711,28.5,0.6,0.10869565217391304,0.17391304347826086
14,0,1320,1250-1400,0,0,white,36,1-0,83.69444444444444,22.6,107.1923076923077,0.0,0.3888888888888889,0.75,225.8728525624347,17.5,0.75,0.05555555555555555,0.1388888888888889
18,0,1320,1250-1400,0,0,black,44,1-0,76.43181818181819,38.5,58.583333333333336,157.2,0.2727272727272727,0.5681818181818182,181.89087609274173,19.5,1.0,0.11363636363636363,0.11363636363636363
24,0,1320,1250-1400,0,0,white,18,0-1,123.38888888888889,46.6,219.375,0.0,0.16666666666666666,0.5,221.72508976680732,66.0,0.0,0.1111111111111111,0.3888888888888889
25,0,1320,1250-1400,0,0,white,29,0-1,127.55172413793103,124.6,129.10526315789474,0.0,0.1724137931034483,0.4827586206896552,204.17091998125701,59.0,0.0,0.13793103448275862,0.3103448275862069
13,0,1320,1250-1400,0,0,black,100,*,221.69,22.8,101.16,298.6461538461538,0.23,0.58,352.0834757553953,44.0,0.4,0.26,0.35
20,0,1320,1250-1400,0,0,black,66,1/2-1/2,77.01515151515152,98.8,28.714285714285715,99.77142857142857,0.2727272727272727,0.6060606060606061,189.1949045076101,7.5,0.6666666666666666,0.09090909090909091,0.18181818181818182
12,0,1320,1250-1400,0,0,black,84,1-0,104.45238095238095,51.9,179.23076923076923,74.89583333333333,0.36904761904761907,0.6309523809523809,211.80406515962028,17.0,0.7692307692307693,0.16666666666666666,0.25
22,0,1320,1250-1400,0,0,black,50,0-1,57.24,17.1,75.96666666666667,41.2,0.4,0.7,109.50754494554246,17.5,1.0,0.08,0.18
26,0,1320,1250-1400,0,0,white,62,1-0,27.20967741935484,26.4,36.11764705882353,23.114285714285714,0.1935483870967742,0.4838709677419355,38.211270545090954,0.0,1.0,0.0,0.06451612903225806
15,0,1320,1250-1400,0,0,black,73,1/2-1/2,116.0958904109589,67.5,90.5,139.30232558139534,0.2876712328767123,0.6027397260273972,170.1407285671419,55.0,0.625,0.1643835616438356,0.3698630136986301
29,0,1320,1250-1400,0,0,black,40,0-1,79.15,54.4,60.074074074074076,333.3333333333333,0.15,0.625,160.37121780419326,36.5,0.0,0.05,0.225
32,0,1320,1250-1400,0,0,white,22,1-0,58.22727272727273,76.9,42.666666666666664,0.0,0.4090909090909091,0.5909090909090909,79.04367711943812,29.5,1.0,0.045454545454545456,0.22727272727272727
27,0,1320,1250-1400,0,0,white,27,0-1,105.5925925925926,27.1,161.25,0.0,0.14814814814814814,0.48148148148148145,202.4666884826497,27.0,0.3333333333333333,0.18518518518518517,0.25925925925925924
28,0,1320,1250-1400,0,0,white,44,0-1,133.02272727272728,41.1,172.07692307692307,121.0,0.22727272727272727,0.5,204.37348705432368,40.0,0.0,0.22727272727272727,0.3181818181818182
34,0,1320,1250-1400,0,0,black,18,1-0,78.88888888888889,18.3,154.625,0.0,0.2777777777777778,0.6666666666666666,225.7370370066534,8.0,0.5,0.05555555555555555,0.1111111111111111
23,0,1320,1250-1400,0,0,white,43,0-1,87.95348837209302,32.7,74.42857142857143,274.2,0.23255813953488372,0.3953488372093023,159.28662967998287,41.0,1.0,0.11627906976744186,0.2558139534883721
33,0,1320,1250-1400,0,0,black,46,0-1,85.56521739130434,22.6,123.66666666666667,0.0,0.2391304347826087,0.7608695652173914,205.6060661613466,16.0,0.2,0.08695652173913043,0.17391304347826086
30,0,1320,1250-1400,0,0,white,34,0-1,101.0,64.0,84.4375,180.375,0.2647058823529412,0.5588235294117647,176.70796779532307,49.5,0.5,0.08823529411764706,0.29411764705882354
21,0,1320,1250-1400,0,0,black,54,1-0,78.5925925925926,25.7,65.26315789473684,251.16666666666666,0.3333333333333333,0.6666666666666666,156.40741179256446,33.0,0.5,0.09259259259259259,0.2037037037037037
31,0,1320,1250-1400,0,0,black,82,1-0,107.92682926829268,45.7,78.22222222222223,129.35185185185185,0.3048780487804878,0.573170731707317,226.01013254254266,28.5,0.4,0.14634146341463414,0.2073170731707317
38,0,1320,1250-1400,0,0,black,22,1-0,120.77272727272727,36.5,191.0,0.0,0.09090909090909091,0.5,219.18442459141818,43.5,1.0,0.13636363636363635,0.3181818181818182
37,0,1320,1250-1400,0,0,black,31,0-1,60.774193548387096,22.6,78.95238095238095,0.0,0.3225806451612903,0.6451612903225806,113.50734228842597,32.0,0.5,0.06451612903225806,0.16129032258064516
